File Name: not saved
Channel 1: 'IndexForce', 21690 values, raw ADC, no filters.
Channel 2: 'ThumbForce', 21690 values, raw ADC, no filters.
Channel 3: 'dial', 21690 values, raw ADC, no filters.
Channel 4: 'FCR_EMG', 21690 values, raw ADC, no filters.
Channel 5: 'FCU_EMG', 21690 values, raw ADC, no filters.
Channel 6: 'ECR_EMG', 21690 values, raw ADC, no filters.
Channel 7: 'ECU_EMG', 21690 values, raw ADC, no filters.

-108	28	171	-44	-40	-9	-11
-167	29	127	-135	-4	-17	-11
-146	32	117	-96	29	-8	-12
-66	41	208	-82	30	6	-11
46	46	336	-72	25	8	-12
67	54	286	-68	25	11	-10
-30	33	212	-20	33	17	-12
-17	28	207	-38	30	23	-12
-6	36	138	-29	25	25	-11
-37	30	133	31	25	17	-11
-17	53	152	48	23	19	-11
-39	60	183	43	24	22	-12
-36	44	215	-134	21	6	-11
-25	46	188	-138	22	-4	-11
-28	40	167	-122	29	-1	-11
-16	41	144	-25	24	5	-12
-26	50	121	144	20	21	-11
-27	45	166	225	21	34	-10
-28	47	173	134	18	41	-12
-24	53	144	90	19	38	-12
-24	45	142	56	14	15	-12
47	35	120	-16	11	-18	-12
129	37	85	-4	17	-42	-10
47	39	34	-61	16	-27	-11
-29	41	74	-41	15	6	-11
-58	46	105	-94	15	21	-11
-118	39	133	-145	18	-11	-11
-122	37	197	-135	17	-54	-11
-128	33	192	29	22	-8	-12
-82	32	173	132	14	50	-11
-28	41	161	72	7	24	-11
-17	40	194	66	13	3	-11
-1	42	182	146	19	-3	-11
-21	42	189	53	24	12	-12
-18	46	189	-52	16	23	-11
-10	47	161	20	19	14	-11
-9	34	171	2	16	16	-11
6	40	166	15	14	27	-12
1	48	175	-27	24	51	-11
-7	42	162	-40	23	72	-12
-15	40	155	-37	24	75	-12
-18	40	155	-37	33	45	-11
-29	38	174	19	45	20	-12
-44	39	239	64	32	38	-11
-47	42	227	110	13	62	-12
-29	42	144	82	-2	27	-11
-17	42	83	68	-14	-35	-11
-18	39	32	54	-5	-77	-11
-20	39	54	0	11	-80	-11
-6	41	117	-81	-6	-44	-12
13	49	151	-95	-13	-72	-11
-13	50	259	-81	9	18	-11
-27	42	367	-121	11	74	-12
-33	44	312	-57	14	-17	-12
-51	46	246	5	16	-9	-11
-39	48	261	49	11	-32	-11
-13	45	272	14	10	-45	-11
-31	42	246	-12	13	-19	-11
-170	42	184	28	17	24	-12
-198	33	176	43	36	74	-11
-75	30	194	107	57	90	-11
-10	29	181	-4	40	85	-11
59	33	128	-68	11	83	-10
79	38	68	-91	18	76	-12
78	40	99	-71	50	35	-11
45	48	187	83	54	16	-12
36	40	174	59	32	46	-11
86	33	136	11	30	43	-12
31	36	154	-94	8	8	-11
14	53	151	-49	-13	30	-11
-10	60	106	-47	-13	36	-11
-31	56	38	-109	-19	43	-11
-31	60	151	88	-23	50	-11
-59	48	210	120	-20	51	-11
-53	41	120	152	8	35	-11
-50	34	106	95	11	0	-11
-45	14	132	68	15	-34	-12
-49	14	225	21	23	-56	-11
-42	23	241	-25	19	-5	-11
-42	42	174	38	24	32	-11
-40	51	189	-36	15	53	-11
-34	48	161	-68	22	77	-12
-39	39	111	-50	28	51	-11
-39	38	98	1	33	12	-11
-43	42	89	-35	37	-12	-11
-38	39	108	-8	25	-29	-12
-40	40	124	-26	24	-40	-10
-34	41	119	-12	29	-31	-11
-27	40	112	94	30	-18	-12
-27	40	161	58	14	-14	-12
-26	32	246	-12	4	-24	-12
-35	32	224	-98	18	-8	-11
-33	38	176	-92	42	21	-11
-34	36	192	-123	43	30	-11
-28	38	208	-79	4	42	-11
-15	54	207	137	-38	43	-11
-9	56	160	258	-33	32	-11
-4	48	141	131	-8	23	-11
31	48	145	-2	8	23	-11
72	50	162	45	10	49	-12
35	50	209	63	11	66	-12
-40	44	190	52	33	59	-11
-100	36	150	-5	38	34	-12
-133	38	144	-1	29	27	-12
-112	46	165	-31	35	30	-11
-89	43	219	-31	34	7	-11
-66	39	279	10	17	-13	-11
-36	51	302	-36	14	9	-11
-22	42	234	-115	20	0	-11
-7	38	159	-147	16	-40	-12
13	39	131	-118	14	-59	-10
23	33	136	-97	10	-57	-12
17	37	194	74	8	-33	-12
-2	34	210	132	7	-22	-12
-1	46	157	-17	13	-26	-12
-18	49	118	-29	20	-41	-12
-55	38	149	-5	32	6	-12
-47	40	181	25	48	46	-11
-44	41	194	45	46	32	-12
-47	45	189	27	33	60	-12
-7	51	198	-9	22	120	-11
71	45	187	-93	16	169	-12
106	39	163	-27	0	137	-11
20	45	166	63	0	63	-11
-32	45	133	16	4	-7	-11
-26	36	135	-46	-12	-34	-12
-46	35	127	-72	-18	-34	-10
-36	38	127	-84	-5	-19	-11
-46	41	128	-110	10	49	-11
-45	37	34	-89	23	56	-12
-42	21	27	40	28	13	-11
-51	20	89	159	31	-46	-12
-42	33	85	142	29	-57	-11
-25	48	136	127	7	-48	-12
-19	57	279	283	-3	-60	-11
-33	53	361	247	12	-13	-11
-40	42	272	-64	29	46	-12
-37	48	172	-169	62	91	-12
-61	45	144	-41	60	116	-11
-97	45	132	60	35	91	-11
-70	56	149	43	9	34	-11
0	60	149	104	-18	8	-12
46	64	180	31	1	2	-12
-1	59	213	-54	-2	-4	-11
-32	56	211	-72	-18	15	-12
-13	50	191	-104	0	-15	-11
-13	36	170	-25	36	-70	-11
-23	22	190	-28	51	-22	-12
22	6	188	-53	27	59	-11
77	-3	140	-95	22	22	-11
-8	4	148	-69	14	-2	-11
13	18	189	-91	7	10	-12
0	13	146	-40	3	-8	-12
-30	44	113	46	-4	-43	-11
-15	55	120	14	-7	-47	-10
-50	47	144	56	-8	12	-10
-14	80	163	85	3	35	-12
-41	58	151	69	-1	37	-11
-32	49	139	-15	10	35	-12
-3	38	115	0	39	58	-10
29	16	103	39	54	67	-11
16	14	134	-8	42	56	-11
-30	20	202	10	11	60	-11
-33	33	136	77	1	59	-12
-79	38	62	92	4	58	-11
-81	46	162	38	21	53	-12
-93	30	358	52	37	45	-10
-51	21	449	9	27	13	-12
12	30	323	-18	8	-26	-11
-10	39	250	-37	-1	-17	-11
-41	78	201	-61	-1	-8	-12
-61	77	144	-75	14	-1	-11
-107	49	202	-70	24	-22	-12
-122	53	185	-74	12	-48	-12
-94	54	162	-106	26	-32	-11
-66	54	142	-36	54	-3	-11
-30	53	141	-43	40	51	-11
-6	38	162	-14	9	76	-11
16	39	125	-5	12	77	-11
5	54	125	17	16	86	-12
-1	54	131	105	18	62	-11
11	52	118	64	2	3	-11
1	45	101	-31	4	-40	-11
-7	35	91	-30	26	-20	-12
-43	41	118	41	28	10	-12
-89	42	114	13	39	26	-11
-87	35	72	-38	25	23	-11
-52	37	115	-73	21	22	-11
-30	36	157	0	22	21	-11
14	46	145	120	13	9	-12
62	55	161	-12	9	4	-11
100	49	148	-50	4	23	-11
37	42	163	60	3	44	-10
-78	32	186	5	6	45	-12
-66	29	196	102	6	55	-11
-5	53	220	136	10	50	-12
102	66	192	75	13	12	-11
112	50	166	31	16	-51	-12
19	45	162	116	34	-72	-11
15	42	162	158	35	-34	-11
-24	45	170	17	24	-2	-11
-58	40	150	7	20	15	-11
-50	7	136	-44	29	32	-11
-56	-6	154	-54	53	57	-12
-46	-1	200	-70	51	64	-10
-38	7	234	0	28	80	-11
-40	10	202	-24	19	86	-12
-39	22	234	-110	-1	67	-12
-43	34	256	-191	-19	41	-12
-54	30	243	-177	-21	3	-12
-63	50	231	-39	-50	-48	-12
-54	49	166	-92	-48	-113	-11
-45	45	135	-4	2	-138	-11
-36	55	113	74	18	-99	-11
-15	59	106	100	11	-30	-11
2	57	135	37	35	10	-11
-1	46	124	23	39	0	-11
-29	61	130	47	18	-9	-11
-40	66	139	13	8	-8	-12
-32	58	125	42	10	-2	-12
-23	50	139	-13	11	5	-11
-11	44	172	-14	16	5	-12
8	46	225	-11	16	31	-11
41	42	320	34	5	34	-11
19	39	264	69	14	58	-12
-30	49	179	82	23	82	-12
-59	55	200	41	30	80	-11
-97	46	161	-4	39	75	-11
-86	46	131	-41	23	22	-11
-43	51	132	-130	11	-12	-11
35	53	148	-130	9	7	-12
14	48	138	-169	11	45	-11
-107	45	140	-121	29	65	-11
-122	37	155	59	51	65	-12
-131	23	140	134	49	59	-11
-63	12	180	81	46	33	-11
-9	15	210	126	42	13	-11
-49	19	171	149	14	25	-11
-28	18	114	63	3	33	-11
17	34	113	33	9	16	-11
104	38	132	-21	10	48	-11
146	30	150	-11	3	71	-11
37	38	162	-4	1	46	-12
-96	38	179	12	19	-44	-12
-114	35	194	39	14	-74	-11
-160	31	179	17	3	102	-12
-130	2	144	-8	6	188	-12
-11	-8	126	-22	6	176	-11
80	14	164	-15	12	189	-11
123	25	186	-32	15	127	-10
7	62	191	-49	16	52	-11
-11	90	169	-20	8	-71	-12
32	97	150	58	11	-188	-11
16	125	161	94	19	-228	-12
23	105	155	18	22	-186	-11
-15	84	146	-11	24	-173	-11
-28	62	179	-41	22	-187	-12
-58	37	244	-103	21	-116	-12
-80	51	216	-75	15	-67	-11
42	30	178	-10	14	26	-11
127	44	172	-1	18	67	-11
41	46	159	-4	15	97	-11
31	34	162	53	17	100	-11
10	62	150	26	19	46	-11
-141	49	138	34	15	50	-11
-218	47	129	-2	14	39	-12
-162	18	160	-28	18	8	-11
-130	-8	166	14	22	-8	-11
-106	16	159	-24	24	25	-11
-39	50	189	33	16	30	-11
-27	29	181	39	11	49	-12
-42	6	177	-48	10	92	-11
-26	55	188	-70	9	67	-12
5	42	201	29	18	75	-11
-17	41	195	33	23	123	-12
-52	48	177	-70	17	126	-11
-67	21	160	11	14	123	-11
-105	34	106	113	21	94	-12
-108	25	68	89	15	21	-11
-41	32	147	-21	8	-43	-11
36	44	251	-25	9	-27	-12
71	41	258	51	10	-9	-11
62	50	191	34	11	-27	-12
87	44	140	80	14	-11	-12
122	19	128	72	17	-28	-10
45	11	94	-22	15	-45	-12
