File Name: not saved
Channel 1: 'IndexForce', 19390 values, raw ADC, no filters.
Channel 2: 'ThumbForce', 19390 values, raw ADC, no filters.
Channel 3: 'dial', 19390 values, raw ADC, no filters.
Channel 4: 'FCR_EMG', 19390 values, raw ADC, no filters.
Channel 5: 'FCU_EMG', 19390 values, raw ADC, no filters.
Channel 6: 'ECR_EMG', 19390 values, raw ADC, no filters.
Channel 7: 'ECU_EMG', 19390 values, raw ADC, no filters.

-218	171	126	117	12	45	-11
-93	194	186	-42	6	34	-11
15	142	186	-59	11	24	-12
127	59	177	-174	15	16	-11
206	24	158	-156	15	5	-12
105	-66	88	-105	19	-6	-12
13	-64	113	-156	28	-11	-11
-32	-41	185	-23	25	-8	-11
-38	-27	182	112	11	-3	-12
-28	-27	176	60	6	14	-12
-70	-12	137	-7	1	32	-11
-64	45	162	-17	1	44	-11
-72	100	172	-118	6	32	-10
-65	87	179	-120	11	7	-12
-81	29	226	-23	26	0	-11
-90	70	197	41	24	15	-11
-52	69	179	39	9	23	-11
-50	47	149	58	9	16	-11
-52	32	148	67	15	22	-12
-68	3	215	32	25	24	-12
-70	-17	175	67	47	29	-11
-72	-56	102	-40	70	24	-11
-39	-25	137	19	56	21	-11
-1	-18	141	209	27	17	-11
60	17	112	285	16	12	-11
145	63	95	151	0	14	-11
109	78	134	-25	-15	17	-12
23	135	188	-30	-23	3	-11
-42	105	157	-78	-25	-19	-12
-91	60	162	-32	-26	4	-12
-54	39	178	15	-10	50	-11
3	17	179	7	15	56	-12
39	36	163	-19	19	15	-11
19	29	128	11	21	-30	-12
-45	44	132	122	19	-63	-12
-84	34	152	-59	26	-65	-12
-128	9	181	-300	39	-30	-11
-111	14	182	-211	34	3	-12
-91	-19	136	-48	31	46	-12
-53	-41	131	169	18	58	-11
21	-22	147	282	18	20	-11
-3	44	161	55	15	-5	-12
-70	150	246	-121	10	4	-11
-65	206	311	-37	9	32	-12
-60	117	288	-48	6	24	-12
-48	20	198	-129	9	6	-11
-12	29	197	-237	21	21	-11
-2	53	272	-119	50	6	-12
26	39	303	-3	55	-15	-11
-12	-29	306	75	34	10	-11
-16	-66	159	145	15	33	-11
31	-14	43	3	11	47	-11
28	27	61	-11	2	56	-12
13	23	94	-61	0	48	-11
-12	48	139	0	2	42	-11
-9	63	149	89	-6	32	-11
-17	55	144	63	-15	24	-11
-24	56	121	114	-9	12	-11
-30	44	143	-44	11	15	-11
-31	45	220	-3	26	11	-11
-26	56	199	111	50	-10	-11
-22	61	157	-3	38	-27	-12
24	53	181	152	26	-11	-11
71	41	178	148	28	15	-12
51	30	142	13	6	23	-12
-20	34	134	-57	2	35	-11
-62	42	136	-249	-4	29	-12
-106	47	114	-283	4	27	-12
-123	46	99	-210	10	30	-12
-112	38	141	-22	9	30	-11
-113	33	182	477	25	43	-11
-99	28	154	694	28	50	-11
-62	34	140	229	21	53	-12
9	71	164	-14	17	56	-11
55	99	171	29	18	36	-11
11	55	155	-234	19	9	-11
-78	24	161	-208	25	27	-11
-97	46	304	-170	22	59	-12
-27	44	339	-209	19	47	-11
13	51	221	-32	19	33	-12
59	66	160	-32	12	15	-11
134	74	83	-9	2	-35	-12
145	73	66	-3	7	-96	-12
52	67	39	23	7	-113	-11
0	44	42	72	10	-71	-11
73	-7	161	81	21	-30	-11
45	-30	238	-79	20	20	-11
-91	-21	220	-248	22	48	-11
-166	20	196	-283	16	35	-11
-264	69	199	-95	21	0	-11
-346	83	178	144	20	4	-11
-213	66	197	315	17	30	-12
-36	30	169	450	22	13	-11
117	-32	148	146	14	40	-12
167	-17	182	-137	16	57	-12
89	66	179	-209	15	92	-11
53	69	160	-168	21	129	-12
11	34	135	-72	32	98	-11
20	32	140	-107	46	24	-12
1	42	134	106	53	-63	-11
-42	48	139	247	26	-96	-11
-7	12	123	-133	5	-68	-11
69	-78	123	-150	-3	-29	-12
63	-139	162	28	0	-17	-11
-52	-56	198	-85	15	12	-11
-60	51	227	-130	-2	12	-11
-89	106	210	-181	-33	-6	-11
-169	141	206	98	-28	32	-11
-198	243	202	253	6	37	-12
-85	361	204	352	32	37	-12
17	186	178	188	50	37	-12
36	44	141	35	38	23	-11
75	104	154	210	24	12	-10
79	22	131	14	28	-10	-11
68	34	131	-24	24	-2	-10
19	59	121	-168	22	32	-11
-1	19	111	-172	18	58	-11
-51	11	227	5	22	53	-12
-97	-25	334	57	19	16	-12
-103	16	251	-32	19	-6	-12
-129	8	141	-52	13	2	-11
-107	-2	108	-43	-1	16	-11
-96	5	58	-92	6	20	-12
-96	-24	50	-20	7	35	-12
-93	-36	120	-87	11	54	-11
-51	-71	217	2	9	47	-11
-40	-30	272	-11	13	10	-12
-6	41	266	-73	24	-8	-11
89	81	267	-55	19	4	-10
110	151	231	4	19	14	-12
79	161	183	79	28	30	-12
94	98	163	83	32	32	-11
141	44	126	79	15	28	-11
33	5	140	-23	4	33	-11
-39	52	182	-47	11	33	-11
-83	60	164	31	14	29	-11
-143	27	136	64	11	29	-12
-122	52	160	65	10	40	-11
-129	40	173	120	13	27	-12
-92	31	142	-25	9	5	-12
-89	-25	142	-66	11	1	-11
-58	-36	138	-13	19	7	-11
-13	12	119	-79	21	5	-11
10	14	129	-74	20	-7	-12
